"z_id","address","lat","long","price","beds","baths","sqft","acres","yr_built"
"zpid_2098809133","90-Bryant-Rd-Manchester-Center-VT-05255",43.194904,-73.033153,876620,4,5,4931,10,2006
"zpid_115806962","20-Long-St-Barre-VT-05641",44.205042,-72.502244,65000,0.5,2,2892,1.20039685771132,1905
"zpid_75423253","4991-Vt-Route-100-Readsboro-VT-05350",42.794388,-72.965719,97000,2,1,1000,3,2001
"zpid_2098785951","5633-Scott-Hwy-Groton-VT-05046",44.204694,-72.265988,122500,2,1,936,21.8,1988
"zpid_2105407835","Silver-Mine-Trl-Newfane-VT-05345",42.998604,-72.743558,3e+05,NA,NA,NA,309,NA
"zpid_92033707","356-Wood-Rd-Worcester-VT-05682",44.366066,-72.580533,269900,3,2,1610,36.2,1989
"zpid_92242732","93-Walnut-St-Burlington-VT-05401",44.489915,-73.212693,395000,0.5,NA,864,NA,1920
"zpid_92005791","246-Glen-Brook-Rd-Stowe-VT-05672",44.483975,-72.644141,239000,3,3,2080,1.39,1973
"zpid_92251106","104-Sharon-Dr-Williston-VT-05495",44.467807,-73.114872,272900,3,2,1560,0.57,1967
"zpid_75438291","2-Tebeau-Ter-Grand-Isle-VT-05458",44.711062,-73.290583,255000,4,3,3200,1.83,2001
"zpid_2098787636","967-Bear-Hill-Road-Northfield-Northfield-VT-05663",44.14612,-72.66954,1299000,4,3,3500,61,2008
"zpid_2098787839","160-N-Main-St-APT-2-Saint-Albans-VT-05478",44.816019,-73.082543,114900,NA,1,808,NA,1850
"zpid_2098790113","285-Sadlar-Meadow-Rd-285-Richmond-VT-05477",44.37695,-73.04509,450000,5,3,3200,NA,2015
"zpid_92045327","575-Bullock-Dr-Guilford-VT-05301",42.799411,-72.6133,279000,2,1,967,10.6,2003
"zpid_2098798492","12-72-W-County-Rd-Woodbury-VT-05681",44.374946,-72.495101,365000,NA,NA,NA,65.5,NA
"zpid_2125547231","0-Glen-Rd-Newport-City-VT-05855",44.884557,-72.175595,99900,NA,NA,NA,50.2,NA
"zpid_2098821810","1106-Sunset-Lake-Rd-Brattleboro-VT-05301",42.887545,-72.647378,132000,2,1,670,0.95,1912
"zpid_75458505","31-Circular-Ave-Wallingford-VT-05773",43.476535,-72.975834,79500,2,1,1200,484849284.708861,1918
"zpid_2098807603","3-Village-View-Hts-Williamstown-VT-05679",44.124388,-72.544414,111000,3,2,1064,0.34,2015
"zpid_2098784074","N-a-Edgewood-Springfield-VT-05156",43.327192,-72.51764,59000,NA,NA,NA,32.4,NA
"zpid_2106353124","Country-Club-Rd-LOT-3-Wilmington-VT-05363",42.858362,-72.864783,69900,NA,NA,NA,10.3,NA
"zpid_115803365","804-Darling-Hill-Rd-Newport-VT-05855",44.996142,-72.150987,149900,3,2,1200,2,2010
"zpid_2098787786","115-Chelsea-Mountain-Rd-Randolph-VT-05041",43.936231,-72.550457,325000,3,2,2917,5,1988
"zpid_2098785735","304-Staton-Dr-Panton-VT-05491",44.117858,-73.378445,1175000,3,3,NA,NA,2001
"zpid_12649175","190-Curtis-Ave-Burlington-VT-05408",44.51023,-73.266438,260000,3,2,1044,737017410.513453,1966
"zpid_12650294","21-Farrington-Pkwy-Burlington-VT-05408",44.512355,-73.246154,219900,4,1,968,96346970.8897613,1958
"zpid_2135849754","F6-Grandview-Dr-South-Burlington-VT-05403",44.4514,-73.1738,147000,2,1,950,NA,1984
"zpid_122659325","53-Pinewood-Dr-Saint-Albans-VT-05478",44.786256,-73.061743,124900,2,1,875,NA,1950
"zpid_2117359312","574-Willard-Rd-Hartford-VT-05059",43.656551,-72.421544,59000,2,1,832,NA,1978
"zpid_2098814110","Snipe-Island-Rd-Jericho-VT-05465",44.44706,-72.94026,94500,NA,NA,NA,5,NA
"zpid_2098817236","00-Falls-Rd-Shelburne-VT-05482",44.38906,-73.21461,88000,NA,NA,NA,0.54,NA
"zpid_75421353","236-Grandview-St-Bennington-VT-05201",42.87451,-73.190151,127500,4,2,2754,9705098718.5936,1937
"zpid_2098816360","00-Center-Rd-Middlesex-VT-05602",44.316681,-72.660166,65000,NA,NA,NA,2.4,NA
"zpid_2098794934","92-E-Allen-St-Winooski-VT-05404",44.491342,-73.182768,670000,6,6,3800,1523876514.73588,1895
"zpid_2098798493","163-Fairway-Dr-163-South-Burlington-VT-05403",44.433658,-73.172933,479995,3,3,2576,NA,2000
"zpid_92052647","1510-Wayside-Rd-Woodstock-VT-05091",43.67018,-72.595818,1375000,4,3,4154,160,1805
"zpid_92256171","25-Meadow-Ln-Underhill-VT-05489",44.528863,-72.941111,309000,4,2,1800,2.5,1972
"zpid_75480643","780-Lakeridge-Rd-Guilford-VT-05301",42.760053,-72.590902,225000,3,3,2400,7.5,1988
"zpid_2098787694","207-Chelsea-Mountain-Rd-Randolph-VT-05041",43.935851,-72.548824,75000,NA,NA,NA,5,NA
"zpid_2098796497","158-Nordic-Vly-Troy-VT-05868",44.8588,-72.3913,309000,3,3,2480,6.96,2014
"zpid_2098805785","Turkwood-Rd-Wardsboro-VT-05355",43.00862,-72.87092,45000,NA,NA,NA,8.8,NA
"zpid_2103938385","2C-Waldwinkle-Rd-Dover-VT-05356",42.932277,-72.849254,85000,2,1,750,NA,1972
"zpid_49676849","57-Hayes-Ave-South-Burlington-VT-05403",44.451193,-73.164455,184000,2,2,1100,507577157.529408,1981
"zpid_59732157","303-Lime-Kiln-Rd-A16-South-Burlington-VT-05403",44.489349,-73.161491,160000,2,2,986,NA,2002
"zpid_92283309","223-Sherwood-Sq-UNIT-223-Essex-Junction-VT-05452",44.493285,-73.103566,128800,2,1,824,NA,1979
"zpid_75435877","626-Slattery-Rd-East-Fairfield-VT-05448",44.702201,-72.955482,239900,3,2,1946,2.01,1850
"zpid_81622912","547-Cobble-Rd-New-Haven-VT-05472",44.053376,-73.105338,399900,3,2,2470,11,1979
"zpid_2100800286","5221-Creek-Rd-Albany-VT-05820",44.701702,-72.33831,199900,3,2,2268,2,2012
"zpid_92052248","1700-Lakota-Rd-Woodstock-VT-05091",43.685875,-72.625812,775000,6,4,2854,68,1796
"zpid_75448331","911-Lake-Rd-Newport-VT-05855",44.936673,-72.229486,289900,3,4,3945,12.5,1988
"zpid_92272227","86-Pinecrest-Dr-UNIT-11A-Essex-Junction-VT-05452",44.506104,-73.121812,145000,2,1,960,NA,1978
"zpid_2105950452","12-Cleland-S-Alburgh-VT-05440",44.974513,-73.309512,255000,3,1,1081,714144709.870478,1958
"zpid_2098805784","Hathaway-Trl-Dover-VT-05356",42.976062,-72.863593,3e+05,NA,NA,NA,95.2,NA
"zpid_2098805769","5A-Blue-Spruce-Dover-VT-05356",42.974269,-72.885009,255000,4,3,2400,NA,1985
"zpid_75483744","258-Fairground-Rd-LOT-11-Springfield-VT-05156",43.329857,-72.519492,54900,2,1,669,NA,2014
"zpid_2098804864","2837-Cold-River-Rd-Rutland-Town-VT-05701",43.61939,-72.9622,145000,5,2,2461,1,1900
"zpid_75487214","283-Route-44-Brownsville-VT-05037",43.467631,-72.458507,315000,3,1,2452,34.4,1826
"zpid_2098796168","206-Highland-Woods-Dr-Shaftsbury-VT-05262",42.997187,-73.204841,590000,3,4,4033,37.4,1996
"zpid_2098805783","10C-Dover-Green-Loop-10-Dover-VT-05356",42.930736,-72.850448,112500,3,2,1248,NA,1980
"zpid_2105461303","N-Ryder-Pond-Rd-LOT-42-Whitingham-VT-05361",42.817922,-72.845836,25000,NA,NA,NA,2.63,NA
"zpid_12655460","125-Cherry-Ln-Burlington-VT-05401",44.459941,-73.212211,375000,2,2,1790,5091600296.18818,1957
"zpid_75419363","4-Carpenter-Ln-Bennington-VT-05201",42.894111,-73.18637,118000,3,1,1064,0.51,1962
