"z_id","address","lat","long","price","saledate","pricepersqft","beds","baths","sqft","acres","yr_built"
"zpid_2098898702","141-Wightman-Hill-Rd-Richford-VT-05476",44.9439,-72.6515,293500,"4/14/16",138,3,2,NA,NA,NA
"zpid_2099582697","35-Kenyon-Rd-White-River-Junction-VT-05001",43.643412,-72.324906,177500,"4/14/16",128,3,2,1383,0.39,2004
"zpid_75470762","30-N-Lakeview-Ter-Waterbury-Center-VT-05677",44.379783,-72.722534,150000,"4/14/16",123,3,1,1218,0.8,1959
"zpid_49677857","20-Overlook-Dr-South-Burlington-VT-05403",44.430816,-73.196441,187500,"4/14/16",160,2,1.5,1170,0.000493840809531646,1985
"zpid_92287013","34-Brickyard-Rd-UNIT-9-Essex-Junction-VT-05452",44.493051,-73.096858,455000,"4/14/16",434,2,1,1048,NA,1982
"zpid_2099882984","41-Messenger-St-Saint-Albans-VT-05478",44.816464,-73.079897,217000,"4/14/16",79,8,NA,2724,189909472.494835,1875
"zpid_75465834","1-Phelps-Rd-Barre-VT-05641",44.189444,-72.457789,110000,"4/14/16",54,4,1,2028,3,1840
"zpid_92051956","35-Kenyon-Rd-White-River-Junction-VT-05001",43.643327,-72.324836,177500,"4/14/16",128,3,2,1383,0.39,2004
"zpid_75465834","1-Phelps-Rd-Barre-VT-05641",44.189444,-72.457789,110000,"4/14/16",54,4,1,2028,3,1840
"zpid_92297776","1239-Essex-Rd-Williston-VT-05495",44.46422,-73.112726,92030,"4/14/16",73,3,1,1248,0.72,1968
"zpid_2099882984","41-Messenger-St-Saint-Albans-VT-05478",44.816464,-73.079897,217000,"4/14/16",79,8,NA,2724,189909472.494835,1875
"zpid_2099582697","35-Kenyon-Rd-White-River-Junction-VT-05001",43.643412,-72.324906,177500,"4/14/16",128,3,2,1383,0.39,2004
"zpid_2100385977","128-Wilkins-St-Morrisville-VT-05661",44.569467,-72.600809,161000,"4/14/16",111,3,2,1440,0.69,1900
"zpid_75470762","30-N-Lakeview-Ter-Waterbury-Center-VT-05677",44.379783,-72.722534,150000,"4/14/16",123,3,1,1218,0.8,1959
"zpid_2098969753","20-Gilbert-Square-Milton-VT-05468",44.62765,-73.11572,159900,"4/13/16",148,2,2,NA,NA,NA
"zpid_2098971570","20-Gilbert-Square-Milton-VT-05468",44.62765,-73.11572,159900,"4/13/16",145,2,2,NA,NA,NA
"zpid_2098970969","189-Lyman-Meadow-Unit-N2-Hinesburg-VT-05461",44.32874,-73.10621,156500,"4/13/16",144,2,2,NA,NA,NA
