"z_id","address","lat","long","price","beds","baths","sqft","acres","yr_built"
"zpid_2098847499","83-S-Jefferson-Rd-39-R-South-Burlington-VT-05403",44.4398,-73.1918,424900,3,3,1775,NA,2016
"zpid_2098849257","3550-Cox-District-Rd-Woodstock-VT-05091",43.615925,-72.570881,529000,3,3,2672,5.68,2004
"zpid_2098824835","410-Farrell-St-APT-313-South-Burlington-VT-05403",44.450081,-73.2051,219900,2,2,1200,NA,2006
"zpid_2101544883","Route-7-LOT-3-Ferrisburgh-VT-05473",44.24859,-73.20227,49000,NA,NA,NA,5.01,NA
"zpid_2103138551","Lot-2-Cross-Rd-Cabot-VT-05647",44.437,-72.3017,22000,NA,NA,NA,2.57,NA
"zpid_2098847659","69-S-Jefferson-Rd-39-L-South-Burlington-VT-05403",44.4398,-73.1918,454500,3,3,2023,NA,2016
"zpid_75464583","1-Deerfield-Ave-Barre-VT-05641",44.153022,-72.517898,164000,4,1,1872,9455282373.32332,1964
"zpid_115807239","212-Cityside-Dr-UNIT-52-Montpelier-VT-05602",44.264959,-72.562054,259000,3,2,1700,NA,1987
"zpid_2098852256","10-Depot-St-3-Wilmington-VT-05363",42.867886,-72.874932,265000,6,3,NA,0.65,1898
"zpid_92296986","189-Green-Hills-Dr-Shelburne-VT-05482",44.368252,-73.230033,310000,3,2,2144,0.37,1975
"zpid_2098862272","3733-Lakeview-Dr-North-Hero-VT-05474",44.906897,-73.235452,199999,3,2,1508,12.3,2002
"zpid_2102556728","370-Williams-Ln-Quechee-VT-05059",43.647099,-72.420181,187000,4,3,1920,0.4,1974
"zpid_2113563818","449-High-Meadow-Way-Danby-VT-05739",43.128095,-72.893126,385500,3,3,3100,9.01,1996
"zpid_111977206","15-Martell-Rd-Milton-VT-05468",44.625082,-73.093633,429500,4,5,3276,10.1,2011
"zpid_115794043","142-Lincoln-St-Pownal-VT-05261",42.769719,-73.242865,155900,4,2,1624,0.48,2010
"zpid_2098848119","73-S-Jefferson-Rd-39-M-South-Burlington-VT-05403",44.417494,-73.194779,356600,2,3,1504,NA,2016
"zpid_2103138552","Lot-1-Walbridge-Rd-Cabot-VT-05647",44.439,-72.2974,22000,NA,NA,NA,2.57,NA
"zpid_49676584","41-Elsom-Pkwy-South-Burlington-VT-05403",44.461013,-73.164611,352900,3,2,2248,0.26,1955
"zpid_12654902","47-Hillcrest-Rd-Burlington-VT-05401",44.461105,-73.202812,649900,3,3,2798,0.48,1932
"zpid_2098898919","285-Sadlar-Meadow-Rd-Richmond-VT-05477",44.427214,-72.983304,450000,5,3,3200,NA,2015
"zpid_2098859909","43-Ellis-Brook-Rd-Dover-VT-05356",42.954853,-72.847137,225900,3,2,1400,NA,1982
"zpid_2098834647","100-Hartness-Way-Quechee-VT-05059",43.65604,-72.419291,179000,3,3,NA,1,NA
"zpid_2098839739","694-Luce-Calais-VT-05650",44.35392,-72.42587,385000,3,3,3000,11,2011
"zpid_75439147","1537-Randolph-Rd-Morrisville-VT-05661",44.540665,-72.591662,185000,3,1,1226,4.4,1976
"zpid_2098834260","2567-Windham-Hill-Rd-Townshend-VT-05353",43.118926,-72.709391,154900,3,1,1100,0.5,1970
"zpid_75480480","461-Sugar-House-Hill-Rd-Guilford-VT-05301",42.808768,-72.656591,189900,3,3,NA,3,NA
"zpid_92251928","305-Westview-Dr-Shelburne-VT-05482",44.407301,-73.202751,795000,3,3,3016,4.18,1989
"zpid_92018773","60-Campbell-Rd-Rutland-VT-05701",43.588702,-72.993268,224900,3,3,2400,0.49,1991
"zpid_2098830466","0-Fort-Dummer-Hts-Brattleboro-VT-05301",42.84445,-72.5993,110000,NA,NA,NA,3.79,NA
"zpid_75419558","2320-West-Rd-Bennington-VT-05201",42.877265,-73.25624,169900,3,2,1872,2.84,1946
"zpid_2098856733","51-Mary-White-Tunbridge-VT-05077",43.95015,-72.499463,225000,2,2,NA,67,NA
"zpid_75455087","584-South-St-Poultney-VT-05764",43.508664,-73.234641,169900,4,2,1900,4.17,1900
"zpid_2122194019","444-Maquam-Shore-Rd-Swanton-VT-05488",44.911446,-73.16338,258000,2,1,1145,484723922.222337,2005
"zpid_2098852544","12-Kibbe-Point-Road-&-3-Haycorn-Holw-South-Hero-VT-05486",44.64687,-73.281662,590000,5,4,3880,6.3,1851
"zpid_2098842684","43-Middle-Ridge-Rising-Bear-118-Stratton-VT-05155",43.18233,-72.82278,493500,3,2,1352,NA,2004
"zpid_124480531","283-Hardscrabble-Rd-Bristol-VT-05443",44.157315,-73.104383,287400,3,3,1664,2.15,2011
"zpid_2098827585","58-Poor-Farm-Rd-Alburg-VT-05440",44.654902,-73.12193,249000,5,3,NA,NA,NA
"zpid_81746960","1055-W-Mountain-Rd-Shaftsbury-VT-05262",42.980472,-73.224308,395000,4,4,2496,55.7,1976
"zpid_75420733","245-Union-St-Bennington-VT-05201",42.876747,-73.190307,109900,2,1,840,50138241.09045,1900
"zpid_94938605","157-Memphremagog-Vw-UNIT-D2-Newport-VT-05855",44.932288,-72.227644,159900,2,2,1000,NA,2004
"zpid_2098833117","(Undisclosed-Address)-Burke-VT-05832",44.589893,-71.902924,107500,0.5,1,480,NA,1978
"zpid_2098862443","1307-S-Route-116-Bristol-VT-05443",44.110384,-73.096924,123000,3,2,940,0.28,1994
